idHomeTeam,idAwayTeam,matchDate,scoreHome,scoreAway,venueName,idWinTeam,scorePenaltyAway,scorePenaltyHome,reasonWinCode,awayName,awayCode2,homeName,homeCode2,away_id,away_received,away_team_id,away_nummatch4,away_nummatch3,away_nummatch2,away_nummatch1,away_gamesyear1,away_pointsyear4,away_discountedyear4,away_pointsyear3,away_discountedyear3,away_pointsyear2,away_discountedyear2,away_pointsyear1,away_discountedyear1,away_pointsyear234,away_points,away_rank,home_id,home_received,home_team_id,home_nummatch4,home_nummatch3,home_nummatch2,home_nummatch1,home_gamesyear1,home_pointsyear4,home_discountedyear4,home_pointsyear3,home_discountedyear3,home_pointsyear2,home_discountedyear2,home_pointsyear1,home_discountedyear1,home_pointsyear234,home_points,home_rank
43976,43929,2018-06-26 16:00:00,,,Sochi,,0,0,0,Peru,pe,Australia,au,815,2018-06-11 22:54:58,43929,9,17,11,12,10,222.02,44.4,421.92,126.58,788.09,394.05,5896.58,560.36,542.09,1125,11,840,2018-06-11 22:54:58,43976,16,10,8,14,9,298.94,59.79,327.21,98.16,387.55,193.77,3223.03,366.6,370.22,718,36
43941,43946,2018-06-26 16:00:00,,,Moscow,,0,0,0,France,fr,Denmark,dk,811,2018-06-11 22:54:58,43946,15,11,16,12,10,657.68,131.54,393.65,118.09,856.75,428.38,5686.07,520.12,552.78,1198,7,816,2018-06-11 22:54:58,43941,8,11,9,10,9,401.06,80.21,300.24,90.07,314.88,157.44,6494.68,723.72,336.62,1051,12
43951,43938,2018-06-26 20:00:00,,,Rostov-On-Don,,0,0,0,Croatia,hr,Iceland,is,824,2018-06-11 22:54:58,43938,10,10,14,10,9,551.26,110.25,335.96,100.79,672.78,336.39,3977.51,397.75,517.92,945,20,826,2018-06-11 22:54:58,43951,9,14,15,10,9,483.19,96.64,302.02,90.61,564.25,282.13,3035.06,438.64,479.12,908,22
43876,43922,2018-06-26 20:00:00,,,St. Petersburg,,0,0,0,Argentina,ar,Nigeria,ng,809,2018-06-11 22:54:58,43922,16,16,13,11,9,917.94,183.59,829.98,248.99,809.59,404.8,3705.99,404.07,668.9,1241,5,852,2018-06-11 22:54:58,43876,13,15,4,18,17,350.01,70,198.21,59.46,474.22,237.11,4521.84,251.21,346.88,618,48
43822,43948,2018-06-27 16:00:00,,,Kazan,,0,0,0,Germany,de,Korea Republic,kr,805,2018-06-11 22:54:58,43948,14,10,15,15,9,1200.77,240.15,424.26,127.28,832,416,4749.53,775.06,716.53,1558,1,861,2018-06-11 22:54:58,43822,18,16,8,18,16,329.82,65.96,305.97,91.79,447.58,223.79,2850.26,162.13,346.99,544,57
43911,43970,2018-06-27 16:00:00,,,Ekaterinburg,,0,0,0,Sweden,se,Mexico,mx,828,2018-06-11 22:54:58,43970,9,12,10,11,9,372.19,74.44,370.1,111.03,431.99,215.99,3710.52,478.44,468.13,880,24,819,2018-06-11 22:54:58,43911,16,23,14,25,13,457.54,91.51,579.97,173.99,506.78,253.39,5176.7,470.55,526.05,989,15
1902465,43924,2018-06-27 20:00:00,,,Moscow,,0,0,0,Brazil,br,Serbia,rs,806,2018-06-11 22:54:58,43924,16,15,11,11,9,811.88,162.38,560.21,168.06,1082.36,541.18,5726.68,558.95,783.39,1431,2,838,2018-06-11 22:54:58,1902465,7,11,8,9,8,192.48,38.5,305.24,91.57,407.12,203.56,3291.27,417.12,341.07,751,34
43971,43901,2018-06-27 20:00:00,,,Nizhny Novgorod,,0,0,0,Costa Rica,cr,Switzerland,ch,827,2018-06-11 22:54:58,43901,14,17,14,15,11,665.55,133.11,332.44,99.73,480.58,240.29,3845.61,410.9,418.8,884,23,810,2018-06-11 22:54:58,43971,11,12,10,10,9,572.09,114.42,338.09,101.43,808.58,404.29,4894.88,578.59,630.81,1199,6
43819,43962,2018-06-28 16:00:00,,,Volgograd,,0,0,0,Poland,pl,Japan,jp,812,2018-06-11 22:54:58,43962,5,11,11,9,8,608.45,121.69,375.17,112.55,896.94,448.47,3355.62,499.9,695.08,1183,8,865,2018-06-11 22:54:58,43819,15,14,9,14,12,338.88,67.78,273.24,81.97,413.01,206.5,2028.53,164.51,346.99,521,61
43879,43926,2018-06-28 16:00:00,,,Samara,,0,0,0,Colombia,co,Senegal,sn,820,2018-06-11 22:54:58,43926,13,13,14,11,9,831.89,166.38,665.76,199.73,655.57,327.78,2557.69,292.09,572.3,986,16,831,2018-06-11 22:54:58,43879,10,15,9,13,11,584.93,116.99,280.3,84.09,537.34,268.67,4107.4,368.23,439.32,838,27
43914,43888,2018-06-28 20:00:00,,,Saransk,,0,0,0,Tunisia,tn,Panama,pa,825,2018-06-11 22:54:58,43888,13,16,12,9,8,493.39,98.68,227.59,68.28,394.79,197.39,3762.58,545.56,391.9,910,21,859,2018-06-11 22:54:58,43914,13,20,15,16,12,209.29,41.86,326.3,97.89,309,154.5,2620.18,276.92,321.86,571,55
43942,43935,2018-06-28 20:00:00,,,Kaliningrad,,0,0,0,Belgium,be,England,gb-eng,807,2018-06-11 22:54:58,43935,14,10,13,9,8,932.92,186.58,529.8,158.94,645.63,322.82,4912.49,629.98,572.28,1298,3,817,2018-06-11 22:54:58,43942,13,12,11,11,9,517.6,103.52,580.49,174.15,593.51,296.75,4896.59,476.42,547.86,1051,13
